neuron_id,method,x,y,cluster,d1,d2,d3,d4,d5,v,u,energy,spike_counter,io_role
8690860040,tsne,-7.03689432144165,-11.903586387634277,,8.0,0.0,4.0,6.0,2.0,-65.0,-13.0,1.0,0,internal
8690925832,tsne,-6.931658744812012,-11.038859367370605,,8.0,1.0,5.0,6.0,2.0,-65.0,-13.0,1.0,0,internal
8691057667,tsne,-9.216071128845215,-0.7845280170440674,,3.0,4.0,7.0,6.0,2.0,-65.0,-13.0,1.0,0,internal
8691187718,tsne,-5.393499851226807,1.2457329034805298,,6.0,0.0,9.0,6.0,2.0,-65.0,-13.0,1.0,0,internal
8707377416,tsne,7.01554536819458,-7.0986762046813965,,8.0,9.0,0.0,7.0,2.0,-65.0,-13.0,1.0,0,internal
8707573253,tsne,0.5946433544158936,-4.594914436340332,,5.0,6.0,3.0,7.0,2.0,-65.0,-13.0,1.0,0,internal
8707768832,tsne,-11.54555892944336,-0.948920726776123,,0.0,2.0,6.0,7.0,2.0,-65.0,-13.0,1.0,0,input
8707899395,tsne,-7.121580600738525,-0.30712899565696716,,3.0,0.0,8.0,7.0,2.0,-65.0,-13.0,1.0,0,internal
8707965447,tsne,-4.541773319244385,1.3971327543258667,,7.0,2.0,9.0,7.0,2.0,-65.0,-13.0,1.0,0,internal
8724154120,tsne,6.109797954559326,-7.64232873916626,,8.0,7.0,0.0,8.0,2.0,-65.0,-13.0,1.0,0,internal
8724283394,tsne,-11.371262550354004,-18.425888061523438,,2.0,0.0,2.0,8.0,2.0,-65.0,-13.0,1.0,0,internal
8724414724,tsne,-5.5153913497924805,-4.628429889678955,,4.0,1.0,4.0,8.0,2.0,-65.0,-13.0,1.0,0,internal
8724611337,tsne,-2.8026413917541504,2.0826516151428223,,9.0,1.0,7.0,8.0,2.0,-65.0,-13.0,1.0,0,output
8724742152,tsne,-3.873046875,1.8077062368392944,,8.0,0.0,9.0,8.0,2.0,-65.0,-13.0,1.0,0,internal
8740931074,tsne,8.700837135314941,-12.677714347839355,,2.0,6.0,0.0,9.0,2.0,-65.0,-13.0,1.0,0,internal
8741062916,tsne,13.085648536682129,-10.37546443939209,,4.0,9.0,2.0,9.0,2.0,-65.0,-13.0,1.0,0,internal
